[0.00s -> 2.00s]  СКУКА!
[2.00s -> 4.00s]  Сука, ненавижу, когда перебивают
[4.00s -> 6.00s]  Так я не с тобой разговариваю
[6.00s -> 8.00s]  Давайте нарисуем что-нибудь
[8.00s -> 10.00s]  Да, это можно, это привет
[10.00s -> 12.00s]  Не, ребят
[29.34s -> 31.34s]  Грамм золота стоит 2800 рублей
[31.34s -> 33.34s]  Новенький автомобиль тестов
[33.34s -> 37.34s]  Стоит 5 миллионов 171 тысячу 71 рублей
[37.34s -> 41.34s]  А побрить яйца в Москве стоит 4600 рублей
[41.34s -> 43.34s]  Вы спросите меня, откуда ты это знаешь?
[43.34s -> 45.34s]  Все просто, у всего есть своя цена
[45.34s -> 47.34s]  Меня зовут Макс Климток и это шоу «Правильная цена»
[53.34s -> 55.34s]  Так надо сделать
[55.34s -> 57.34s]  Давайте познакомимся с нашими участниками
[57.34s -> 59.34s]  Первая участница X2 Team
[59.34s -> 61.34s]  Настя Бет Барби
[61.34s -> 63.34s]  Хлопаем шоу, шоу сидит
[63.34s -> 65.34s]  Что сидит?
[65.34s -> 67.34s]  Как будто бы вы ее не рады видеть, ей-богу
[67.34s -> 69.34s]  Женя Ершов
[71.34s -> 73.34s]  Что мы сидим молча?
[73.34s -> 75.34s]  Бессовестная
[75.34s -> 77.34s]  И участник Хайп Хаоса
[77.34s -> 79.34s]  Герман Глас
[79.34s -> 83.34s]  Походу Германа рады видеть больше всех, молодцы
[83.34s -> 85.34s]  Наша игра очень простая
[85.34s -> 87.34s]  Мы сыграем три раунда, во время раундов вы купите баллы
[87.34s -> 91.34s]  Участник, оказавшийся ближе всего к правильной цене, получает два балла
[91.34s -> 93.34s]  Второе место – один балл
[93.34s -> 95.34s]  А оказавшийся дальше всех – ноль баллов
[95.34s -> 101.34s]  В конце набравший наибольшее количество баллов участник выбирает себе на них подарок
[101.34s -> 103.34s]  Итак, давайте немножко с вами разгонимся
[103.34s -> 107.34s]  Настенька, скажи пожалуйста, какой самый дорогой чек в ресторане ты закрывала?
[107.34s -> 111.34s]  Давайте самое дорогое, за шо не заплатил Даня Бум
[111.34s -> 115.34s]  Никто не понял, да, зрители поняли, ладно
[115.34s -> 117.34s]  Ничего
[117.34s -> 119.34s]  Я могу рассказать историю
[119.34s -> 121.34s]  Ну давай
[121.34s -> 123.34s]  Мы как-то были в Египте, и всем ребят мы пошли в ресторан
[123.34s -> 125.34s]  И мы что-то вообще не разбирались по ценам
[125.34s -> 129.34s]  Мы что-то там заказали пару блюд, они какие-то очень большие оказались
[129.34s -> 133.34s]  И потом нам принесли в чек 60-60 тысяч рублей
[133.34s -> 135.34s]  Сколько?
[135.34s -> 137.34s]  Это шо надо похавать на 60 тысяч?
[137.34s -> 139.34s]  Ну это какой-то балл очень классный ресторан
[139.34s -> 141.34s]  И мы такие…
[141.34s -> 143.34s]  Сколько?
[143.34s -> 145.34s]  60 тысяч, это шо вы амаров каких-то ели?
[145.34s -> 147.34s]  Нет, вообще обычно типа там спагетти
[147.34s -> 151.34s]  Какие-то золотые походу эти были спагетти конечно
[151.34s -> 155.34s]  Женя, какая самая дорогая вещь у тебя в гардеробе?
[155.34s -> 157.34s]  Не знаю числа наверно
[157.34s -> 159.34s]  Сколько?
[159.34s -> 161.34s]  Ты 3,5 миллиона
[161.34s -> 163.34s]  Ну по-людски конечно 3,5 миллиона
[163.34s -> 165.34s]  За шо-нибудь я со своей жидовской натурой и палеными языками конечно одобряю
[165.34s -> 167.34s]  Ну молодец, это то, чего у меня никогда не было
[167.34s -> 169.34s]  Ролли на руке
[169.34s -> 173.34s]  Скажите мне пожалуйста, покупали ли вы что-либо через сервисы объявлений, типа Авито?
[173.34s -> 175.34s]  И что это было?
[175.34s -> 183.34s]  Я бы купала самую первую в жизни камеру Canon 600D
[183.34s -> 185.34s]  Она стоила 10 тысяч, я помню я копила с обедов
[185.34s -> 187.34s]  Наверное какая-то раздолбанная она была
[187.34s -> 189.34s]  Да, да
[189.34s -> 191.34s]  А ты что?
[191.34s -> 193.34s]  Самую последнюю что-ли?
[193.34s -> 195.34s]  75 тысяч
[195.34s -> 197.34s]  Какая порода?
[197.34s -> 199.34s]  Коги
[199.34s -> 203.34s]  Она сказала про камеру, что покупала стабилизатор трехосевой
[203.34s -> 205.34s]  А, на Авито
[205.34s -> 207.34s]  Я работал оператором 14 лет
[207.34s -> 209.34s]  Я купил стабилизатор за 14 лет
[209.34s -> 211.34s]  Он работал с 14 лет, давайте похлопаем за это
[211.34s -> 213.34s]  Тиктокеры тоже работают между прочим
[213.34s -> 215.34s]  Вы не дебилы
[215.34s -> 217.34s]  У ребят мы узнали, что они покупали на сервисах объявлений
[217.34s -> 221.34s]  Давайте теперь узнаем за что люди хотят взять денег
[221.34s -> 223.34s]  Наш первый раунд всратые объявления
[227.34s -> 229.34s]  В этом раунде я вам покажу несколько странных объявлений
[229.34s -> 231.34s]  Найденных на просторах интернета
[231.34s -> 233.34s]  Всего их будет три
[233.34s -> 235.34s]  Ваша задача угадать сколько стоит та или иная услуга
[235.34s -> 237.34s]  Или тот или иной товар
[237.34s -> 239.34s]  Вы пишите свои варианты
[239.34s -> 241.34s]  А после объясняете почему вы написали такую сцену
[241.34s -> 243.34s]  Можно в двух словах буквально
[243.34s -> 245.34s]  Наше первое объявление
[245.34s -> 247.34s]  Это бутыль с привидением
[247.34s -> 249.34s]  Алексей 4 звезды Татарстан
[249.34s -> 251.34s]  Смею заметить
[251.34s -> 253.34s]  Бутыль с находящимся там заблудшим духом
[253.34s -> 255.34s]  Любит молоко и хлеб
[255.34s -> 257.34s]  Любит играть со шторами
[257.34s -> 259.34s]  Душа находится в святой воде
[259.34s -> 261.34s]  Можно выпустить или использовать по своему усмотрению
[261.34s -> 263.34s]  Это бутыль из коллекции блуждающих душ
[263.34s -> 265.34s]  Как вы думаете сколько за старика Хатабыча
[265.34s -> 267.34s]  Нынче просят денег
[267.34s -> 269.34s]  Смотрите это считай как живое
[269.34s -> 271.34s]  Живое да
[271.34s -> 273.34s]  Должен быть дорогой
[273.34s -> 275.34s]  Не дешевый
[275.34s -> 277.34s]  Я готова объясняться
[277.34s -> 279.34s]  Ну тогда
[279.34s -> 281.34s]  Сейчас секунду
[281.34s -> 283.34s]  У нас новый постоянный реквизит в студии
[283.34s -> 285.34s]  Три, два, один
[285.34s -> 287.34s]  Вскрываемся
[287.34s -> 289.34s]  666
[291.34s -> 293.34s]  50 тысяч рублей
[293.34s -> 295.34s]  Почему такая вот бодрая цена
[295.34s -> 297.34s]  Так я объясняю свою теорию
[297.34s -> 299.34s]  Значит смотрите
[299.34s -> 301.34s]  Мы перед нами видим привидение
[301.34s -> 303.34s]  Привидение это что
[303.34s -> 305.34s]  Это не чистая сила
[305.34s -> 307.34s]  666 число
[307.34s -> 309.34s]  А какое
[309.34s -> 311.34s]  Демона
[311.34s -> 313.34s]  Наверное этот молодой человек
[313.34s -> 315.34s]  А может быть не молодой
[315.34s -> 317.34s]  4 звезды
[317.34s -> 319.34s]  Алексей 4 звезды
[319.34s -> 321.34s]  Решил
[321.34s -> 323.34s]  6 отзывов
[323.34s -> 325.34s]  Не зря там 6 отзывов
[325.34s -> 327.34s]  Ну слушайте в принципе логично
[327.34s -> 329.34s]  Я такая же *****
[329.34s -> 331.34s]  Только считаю что подороже
[331.34s -> 333.34s]  Ни хера это не подороже
