[0.00s -> 1.40s]  Кому-то вообще интересен стендап?
[1.40s -> 3.40s]  Народ сидит, так ты его пофигуешь.
[3.40s -> 4.76s]  Вы верите в гороскопы?
[4.76s -> 5.96s]  Ты поверила этой игрушке?
[5.96s -> 7.32s]  Я предам, если будет всё выйти.
[7.32s -> 8.24s]  Неважно.
[8.24s -> 10.24s]  Ну, я, наверное, постою до первой сотки.
[10.24s -> 11.08s]  Песня.
[11.08s -> 16.04s]  Хана невеста, любимая женщина один раз в месяц.
[16.04s -> 17.28s]  Я просто тотален.
[17.28s -> 18.40s]  А у вас закан, да?
[18.40s -> 19.44s]  Спешите, понял.
[19.44s -> 20.12s]  Везите.
[20.12s -> 21.32s]  Ох!
[21.32s -> 22.92s]  Неудобный стендап.
[22.92s -> 27.92s]  Это шоу, где крутые комики рассказывают свои шутки в самых не подходящих для этого местах.
[27.96s -> 30.68s]  Кто заберёт бабло, определяет случайные зрители.
[30.68s -> 32.68s]  Ну что, погнали.
[32.68s -> 34.68s]  Привет, мы не стендап-комики.
[34.68s -> 39.68s]  И сегодня мы будем выступать в местах, которые вообще не подходят для стендапа.
[39.68s -> 41.68s]  Меня зовут Кирилл Мазур, это...
[41.68s -> 43.68s]  Меня зовут Зоя Кулор, это...
[43.68s -> 45.68s]  Молодой начинающий комик Ромис Ахметов.
[45.68s -> 47.68s]  Ромис Ахметов.
[47.68s -> 51.68s]  И сегодня, Ромисик, вытягиваем место, где ты будешь петь на своей гитаре.
[51.68s -> 53.68s]  Где же я только не пел ещё?
[53.68s -> 55.68s]  Это подземный переход.
[55.68s -> 57.68s]  Вернёмся к корням.
[57.84s -> 59.84s]  Вот оно как.
[59.84s -> 61.84s]  Давайте посмотрим, что мне досталось.
[61.84s -> 63.84s]  А ну-ка.
[63.84s -> 66.84s]  Остановка общественного транспорта.
[66.84s -> 68.84s]  Меня где мать оставила в три года.
[68.84s -> 70.84s]  Туда и вернусь.
[70.84s -> 72.84s]  Как думаете, что у меня, ребята?
[72.84s -> 74.84s]  Ну-ка.
[74.84s -> 76.84s]  Вход в зоопарк.
[76.84s -> 81.56s]  Это комба.
[81.56s -> 85.56s]  Дело в том, что сейчас здесь будет происходить увеселительное мероприятие.
[85.56s -> 87.56s]  Так называемый стендап.
[87.56s -> 89.56s]  Похлопайте, кто верит в гороскопы. Вы верите в гороскопы?
[89.72s -> 91.72s]  Вы когда-нибудь читали описание скорпионов?
[91.72s -> 93.72s]  Мы там всякие-то нимфоманы, маньяки.
[93.72s -> 95.72s]  Я даже не видела гороскоп скорпионы.
[95.72s -> 97.72s]  Насытился на лицо.
[97.72s -> 99.72s]  Я такая, о, спасибо.
[99.72s -> 101.72s]  Такой четверг обещала мне газетка.
[101.72s -> 103.72s]  А нам и так тяжело. Я родилась в ноябре.
[103.72s -> 105.72s]  Что-то такое, где лучший подарок на день рождения, это отопление.
[105.72s -> 107.72s]  О, спасибо большое.
[107.72s -> 109.72s]  Привет.
[109.72s -> 111.72s]  А ты кто бы знак изодиака?
[111.72s -> 113.72s]  Никто?
[113.72s -> 115.72s]  Блин, позвони матери. Спроси, когда ты родилась.
[115.72s -> 117.72s]  Она подскажет. 8 925.
[117.88s -> 119.88s]  Я даже могу записывать. Я диктую свой номер.
