[0.00s -> 4.04s]  Я хочу стать музыкантом.
[4.04s -> 6.16s]  Полное мясо.
[6.16s -> 9.46s]  Господи.
[9.46s -> 11.26s]  Ээээ...
[11.26s -> 12.98s]  Не знаком с Моцартом, не знаю.
[12.98s -> 13.98s]  Что это за перец?
[13.98s -> 16.18s]  I'm a real producer, you just Piano Man.
[16.18s -> 16.94s]  Чувак.
[16.94s -> 18.74s]  Вроде сейчас никто такой не слушает.
[18.74s -> 19.66s]  Бип-бип-бип.
[19.66s -> 22.46s]  Мой сигналит G Pro by Scott Storch.
[22.46s -> 24.02s]  Просто пушка.
[30.69s -> 32.85s]  А у средней камеры точно ровный план?
[32.85s -> 34.49s]  Мне кажется, он немножко...
[34.97s -> 35.97s]  Влево.
[35.97s -> 37.45s]  Нет, все четко.
[37.45s -> 38.45s]  Ровно стоит.
[38.45s -> 39.45s]  Окей.
[39.45s -> 40.45s]  Все, погнали.
[40.45s -> 41.45s]  Да.
[41.45s -> 42.45s]  Всем привет, друзья.
[42.45s -> 45.65s]  Меня зовут Ярослав Грин и вы смотрите шоу Kitchen Stories.
[45.65s -> 47.89s]  Сегодня у нас в гостях не просто артист,
[47.89s -> 50.57s]  а, на мой взгляд, даже один из самых востребованных
[50.57s -> 53.49s]  продюсеров сегодняшней отечественной хип-хоп-культуре
[53.49s -> 54.49s]  White Punch.
[54.49s -> 55.49s]  Салют.
[55.49s -> 56.49s]  Как дела, Дэн?
[56.49s -> 58.13s]  Ты все соус, ты как?
[58.13s -> 59.13s]  Пычком.
[59.13s -> 60.13s]  Смотри, я на Kitchen Stories.
[60.13s -> 62.01s]  Ни один артист не приходит с пустыми руками.
[62.01s -> 64.29s]  Обязательно составляющий хорошее настроение.
[64.37s -> 67.21s]  Прикольные истории и, конечно же, фирменный рецепт.
[67.21s -> 68.21s]  Для чего он нам нужен?
[68.21s -> 73.05s]  Мы соберем классную книгу рецептов с вашими фотографиями,
[73.05s -> 75.97s]  вашими фирменными рецептами, секретиками и так далее,
[75.97s -> 78.13s]  и потом подарим нашим зрителям.
[78.13s -> 79.41s]  Что мы сегодня готовим?
[79.41s -> 80.41s]  Рамен.
[80.41s -> 82.21s]  Даже можно сказать бок.
[82.21s -> 83.53s]  Называется он Вальгала.
[83.53s -> 84.53s]  Так.
[84.53s -> 87.41s]  Вальгала, потому что у нас есть соус Ширарача.
[87.41s -> 88.41s]  Мой любимый соус.
[88.41s -> 90.05s]  Вообще, я люблю очень острый виду.
[90.05s -> 92.17s]  Я чувствую, гореть будет не только в комментариях,
[92.17s -> 93.17s]  да, потом?
[93.17s -> 96.33s]  Я не знаю, где будет гореть, но главное, чтобы в сердечке горело,
[96.33s -> 97.33s]  когда кушаешь.
[97.33s -> 98.93s]  Что нам потребуется для этого блюда?
[98.93s -> 103.33s]  Нам для начала потребуется курочка, грибочки, лук парей,
[103.33s -> 107.37s]  лапша, соус чили, имбирь, сушеные грибы шитаки
[107.37s -> 110.97s]  и, самое главное, изюминка, соус Ширарача.
[110.97s -> 113.29s]  Давай распределим задачи.
[113.29s -> 116.01s]  С чего мы начинаем, что ты будешь делать сам,
[116.01s -> 117.01s]  что поручишь мне?
[117.01s -> 120.01s]  Ты начнешь с грибов.
[120.01s -> 121.01s]  Звучит много обещаний.
[121.57s -> 126.45s]  Тебе нужно будет разделать грибы, отделить шляпку от
[126.45s -> 129.57s]  ножки обязательно и пожарить.
[129.57s -> 132.49s]  Так, значит, мы начинаем со шляпок, правильно?
[132.49s -> 133.49s]  Да.
[133.49s -> 134.49s]  Вопрос.
[134.49s -> 138.17s]  Есть ли у тебя какая-то прикольная история, связанная именно
[138.17s -> 139.17s]  с этим блюдом?
[139.17s -> 143.13s]  К сожалению, пока нет, но, я думаю, сегодня она будет.
[143.13s -> 146.29s]  Потому что мы сегодня оба с тобой учимся его готовить.
[146.29s -> 150.57s]  С соусом Ширарача у меня много историй.
[150.57s -> 155.81s]  Они, может быть, не особо прикольные, но была история,
[155.81s -> 158.73s]  что я съел вот такой большой соус за две недели.
[158.73s -> 161.09s]  И как ты себя чувствовал потом?
[161.09s -> 162.09s]  Отлично.
[162.09s -> 165.01s]  Поэтому мы готовим сегодня с этим соусом, обожаю острую
[165.01s -> 166.01s]  еду.
[166.01s -> 169.57s]  И она мне никакого дискомфорта не создает.
[169.57s -> 173.29s]  То есть ты спокойно потребляешь ее без мизима, без кофе?
[173.29s -> 174.29s]  Да, без всего.
[174.29s -> 178.37s]  В силу возраста пока, наверное, мне это все не вернулось.
[178.37s -> 182.97s]  Но мои друзья, товарищи, которые старше меня, предупреждают
[182.97s -> 188.85s]  о том, что скоро я не смогу больше так.
[188.85s -> 191.73s]  Я предполагаю, что там будет острый и на входе, и на выходе,
[191.73s -> 192.73s]  как говорится.
[192.73s -> 198.41s]  У тебя за осень вышло две части, ну два релиза, скажем
[198.41s -> 199.41s]  так.
[199.41s -> 200.41s]  Правильно?
[200.41s -> 201.41s]  Yes, sir.
[201.41s -> 204.09s]  Сейчас тебе вопрос первый, вот какого характера называется
[204.09s -> 205.09s]  и одна и другая Sirius.
[205.09s -> 207.95s]  Я немножко воспользовался гуглом и всем остальным
[207.95s -> 211.37s]  и углубился в само название.
[211.37s -> 214.69s]  Расскажи мне ты, когда ты записывал и создавал эту
[214.69s -> 218.97s]  пластинку или опи пластинки, как вам больше нравится,
[218.97s -> 221.93s]  ты отталкивался от концепции названия или оно появилось
[221.93s -> 222.93s]  уже после?
[222.93s -> 226.21s]  Я не знаю, мне кажется, эта история с Sirius, она появилась
[226.21s -> 227.21s]  как-то сама.
[227.21s -> 231.33s]  Я даже ничего такого сверхъестественного не пытался придумать,
[231.33s -> 234.97s]  хотелось сделать альбом, чтобы он отдавал чем-то
[234.97s -> 235.97s]  электронным.
[235.97s -> 240.45s]  Мне очень хотелось написать альбом, где полностью продакшн,
[240.45s -> 243.29s]  то есть я веду, да, потому что в последнее время, когда
[243.29s -> 246.57s]  я стал артистом, мне очень стало тяжело работать
[246.57s -> 251.69s]  с самим собой, потому что ты сидишь, пишешь бит, слушаешь
[251.69s -> 256.41s]  его двести тысяч раз, пишешь текст, слушаешь его еще.
[256.41s -> 257.41s]  И начинается замыливание, да?
[257.41s -> 259.89s]  И начинается просто замыливание, и к моменту, когда ты уже
[260.05s -> 263.53s]  пришел на студию, чтобы сделать выстрел, ты просто сидишь
[263.53s -> 265.33s]  и уже не можешь это слушать.
[265.33s -> 267.61s]  Ты уже наслушался, тебе уже надоело, хочешь снова.
