[0.00s -> 2.00s]  Всем привет, я Алиса!
[2.32s -> 8.64s]  Возможно, у кого-то в телефоне я записана как рука жоп, но на это есть объективные причины. Я ненавижу ремонты.
[9.08s -> 15.76s]  Потому что это пыльно, затратно, нужны дополнительные рабочие руки, а у меня есть только мои, но еще и светлая глава нашего дизайнера.
[16.08s -> 23.84s]  Мы здесь все ненавидим ремонты и искренне считаем, что все можно решить исключительно при помощи декора и дизайнерских приемчиков.
[23.84s -> 32.56s]  Ну, по крайней мере, визуально здорово изменить поднадоевший интерьер. У нас на все про все несколько часов и 25 тысяч рублей. Это же за глаза.
[32.88s -> 44.40s]  Это шоу о том, как сделать ремонт без ремонта. Как своими силами преобразить квартиру без бригады рабочих, без пыли и без большого бюджета. Используют только декор и дизайнерский лайфхакер.
[44.40s -> 50.64s]  Это Наташа, наш дизайнер, только она знает, как все будет потом. Ну, давай о том, что у нас сейчас.
[51.12s -> 55.84s]  А что у нас сейчас? У нас очень даже ничего себе комната с таким хорошим ремонтом.
[55.84s -> 57.84s]  О, как это хороший ремонт.
[57.84s -> 65.84s]  Был когда-то. На самом деле, когда эту комнату задумывали, здесь предполагался классический стиль.
[65.84s -> 75.52s]  Стены у нас серые, потолки высокие, потолочный широкий плинтус, темный паркет. Все достаточно элегантно, аристократично.
[75.60s -> 82.88s]  Со временем, правда, наш аристократ разорился, сейчас доживает свой век, в остатках было и роскошь. Вот эта обшарпанность стен, конечно.
[82.88s -> 92.40s]  Добавилась новая мебель под новые задачи, шторы, которые укорочены и почему-то, как дорогой, хороший классический костюм, просто после стирки сели.
[92.40s -> 94.72s]  Это естественно, что-то добавилось у тебя, что-то убавилось.
[94.72s -> 98.72s]  И, конечно же, этой комнате это не придает элегантности.
[98.72s -> 102.72s]  Шторы, естественно, будем менять. Что мы планируем делать в этом интерьере?
[102.92s -> 114.64s]  Что такое вообще классика в нашем понимании? Это такой классический интерьер с простыми формами, с лепниными, со всякими столбами, статуэтками и венерами.
[114.64s -> 117.12s]  Всего этого здесь мы делать не будем.
[117.12s -> 129.52s]  Так как интерьер задумывался изначально в классическом стиле, но со временем он уже стал таким потертым и обжитым, нам это ощущение нужно убрать именно по житости и потертости.
[130.32s -> 133.32s]  Будем мы это делать с помощью ярких цветовых акцентов.
[133.32s -> 141.32s]  То есть таким образом мы просто отвлечем внимание, чтобы глаз не цеплялся за дефекты, а наоборот концентрировался на чем-то ярком и красивом, правильно?
[141.32s -> 144.32s]  Правильно. Но в основе у нас будет классика.
[144.32s -> 148.32s]  Мне кажется, до всех этих переделок здесь необходима уборка.
[148.32s -> 150.32s]  Просто вытереть пыль с поверхностей.
[150.32s -> 156.32s]  Обязательно вытереть пыль с поверхностей, убрать все лишнее, чтобы это не отвлекало внимание.
[157.12s -> 161.12s]  Мы в основном оставим всю мебель, которая присутствует в этой комнате.
[161.12s -> 163.12s]  То есть мы эту комнату будем дополнять.
[163.12s -> 168.12s]  Если вдруг вы решили исполнить свой интерьер в классическом стиле, вам необходимо помнить одно.
[168.12s -> 176.12s]  Помните, что этот интерьер должен быть идеальный, с идеальными поверхностями, потому что классика не любит изъянов.
[176.12s -> 180.12s]  Вообще надо сказать, что в этом интерьере сразу несколько открытых систем хранения.
[180.92s -> 182.92s]  Это, естественно, предполагает порядок.
[182.92s -> 186.92s]  Но поскольку здесь живет мужчина, это бесчеловечно, требуется вот такое.
[186.92s -> 187.92s]  Какой выход?
[187.92s -> 191.92s]  А выход такой, что мы ему поможем и один стеллаж уберем.
[191.92s -> 193.92s]  Нет, стеллажа нет проблем, естественно.
[193.92s -> 197.92s]  А все остальное разберем и просто упорядочим.
[197.92s -> 202.92s]  Мне не кажется, что вот закрытые ящички-контейнеры – это действительно выход.
[202.92s -> 206.92s]  Ты туда просто складываешь всю мелочугу и все, и она просто не мазурит глаза.
[206.92s -> 208.92s]  Все верно. Давай начинать.
[208.92s -> 210.92s]  Вообще мы избавляемся от стеллажа.
[210.92s -> 212.92s]  Он здесь лишний, во всех отношениях не подходит.
[212.92s -> 214.92s]  Нам не стилистически, не функционально.
[214.92s -> 221.92s]  Также мы заменяем рабочий стол на более современный, красивый, акцентный, такого приятного желтого цвета.
[221.92s -> 226.92s]  Мы принесли сюда ковер, который больше подходит этому классическому интерьеру.
[226.92s -> 232.92s]  Мы захотели немного поиграть с формой, поэтому над тумбой мы вешаем навесные модули.
[232.92s -> 236.92s]  Также мы повесили два красивых постера над кроватью.
[236.92s -> 239.92s]  Ну и естественно мы добавляем текстиль в этом интерьере.
[239.92s -> 245.92s]  Красивого серого цвета портьеры и декор кровати в таких же красивых, спокойных серых тонах.
[245.92s -> 251.92s]  Мы разбираем стеллаж, наводим порядок, а также добавляем красивые детали, характерные для классического интерьера.
[251.92s -> 256.92s]  У нас здесь появляется голова Давида, красивые растения в горшках.
[256.92s -> 262.92s]  Мы упорядочиваем систему хранения в зоне рабочего стола, переносим зеркало поближе к кровати и добавляем зелень.
[262.92s -> 264.92s]  Собственно говоря, вот что у нас получилось.
[264.92s -> 268.92s]  Кардинально мы не вносили никаких изменений в этот интерьер.
[268.92s -> 271.92s]  Мы лишь добавляли яркие акценты и дополняли его.
[271.92s -> 279.92s]  Действительно это так, потому что даже хозяйские шторы нас вполне устраивали по цвету, но нас не устраивала их длина.
[279.92s -> 287.92s]  Мы подобрали максимально близкие по тону к стенам, повесили наши шторы, но их длина уже та, которая нам нужна.
[287.92s -> 291.92s]  Даже вся мебель практически осталась на тех же местах, как она и стояла прежде.
