[0.00s -> 4.28s]  ГОВОРЯТ НА ИНОСТРАННОМ ЯЗЫКЕ
[4.28s -> 7.28s]  Подождите, я там все абсолютно не овела.
[7.28s -> 9.60s]  Я вам вообще насколько тут нужна?
[9.60s -> 13.00s]  СПОКОЙНАЯ МУЗЫКА
[13.00s -> 16.44s]  В каждом выпуске Женя и Скандарова вместе с гостьем
[16.44s -> 18.08s]  посещают города России.
[18.08s -> 21.32s]  Вернуть свои деньги и телефоны они смогут только,
[21.32s -> 23.32s]  если пройдут квест до конца.
[23.32s -> 27.04s]  В новогоднем выпуске Женя и Скандарова вместе с гостьей
[27.28s -> 30.12s]  в Нелжу, парк детского и семейного отдыха,
[30.12s -> 33.48s]  который расположился в одном из живописнейших мест
[33.48s -> 36.32s]  Ромонского района, одноименном селе Нелже,
[36.32s -> 38.20s]  в 60 километрах от Воронежа.
[38.20s -> 41.76s]  Именно в Нелже есть настоящая резиденция деда Мороза,
[41.76s -> 53.51s]  в которой и оказались наши героини.
[53.51s -> 57.23s]  Женя и Катя захотели лично передать в руки дедушке Морозу
[57.23s -> 59.47s]  свои детские письма с желаниями.
[59.47s -> 64.11s]  Но вокруг совсем нет снега и новогодней атмосферы совсем не чувствуется.
[64.11s -> 66.31s]  Давайте разберемся, что же произошло.
[66.35s -> 68.71s]  НАПЕВАЕТ
[68.71s -> 70.31s]  Ты что, песни не знаешь?
[70.31s -> 72.03s]  Э-э, нет, такой песни.
[73.67s -> 76.87s]  Это шоу-почетный гражданин-новогодний выпуск.
[76.87s -> 79.03s]  И сегодня я, Женя и Скандарова,
[79.03s -> 83.51s]  вместе со своей лучшей подругой Катей Шматей в селе Нелже.
[84.55s -> 87.23s]  И здесь мы будем искать деда Мороза,
[87.23s -> 91.35s]  потому что мы подготовили для него свои новогодние письма,
[91.35s -> 95.03s]  которые не дошли до него, когда мы были маленькими,
[95.03s -> 99.31s]  вернулись обратно, и вот именно сегодня они попадут к нему
[99.31s -> 102.03s]  в его холодные, большие, добрые руки.
[107.19s -> 109.19s]  О-о-о-па!
[109.19s -> 110.19s]  Спасибо!
[110.75s -> 112.07s]  Здравствуйте!
[112.07s -> 114.03s]  Здравствуйте, дедушка Мороз!
[114.03s -> 115.39s]  Это не дед Мороз!
[115.39s -> 117.59s]  Это снеговица, скажи честно.
[117.59s -> 118.59s]  Здрасте.
[118.59s -> 119.99s]  Новый год под угрозой.
[119.99s -> 124.03s]  Злой брат деда Мороза каждый год нашему дедушке строит козни.
[124.03s -> 127.15s]  Он похитил весь снег вокруг и веру в праздник.
[127.15s -> 130.39s]  Смотрите, у нашего дедушки есть волшебный посох,
[130.39s -> 132.99s]  который он похитил и разобрал на части.
[132.99s -> 136.43s]  Помогите нам, пожалуйста, собрать эти части воедино
[136.43s -> 139.11s]  и спасти праздник, только на вас, Надежда.
[139.11s -> 141.55s]  У деда Мороза украли посох со звездой,
[141.55s -> 143.87s]  без которой волшебство не работает.
[143.87s -> 146.99s]  Звезда разлетелась на пять частей по всей Нелже.
[146.99s -> 149.51s]  Девочкам предстоит собрать все осколки
[149.51s -> 152.71s]  и вернуть их деду Морозу, чтобы спасти праздник.
[152.71s -> 154.23s]  Нам надо посоветоваться.
[154.23s -> 155.55s]  Если что, я здесь.
[155.59s -> 158.99s]  Если у деда Мороза есть подарки, то помогать не нужно.
[158.99s -> 161.15s]  Просто забираем подарки, и все.
[161.15s -> 164.11s]  Если их нет, такие... У меня нет детей.
[164.11s -> 166.35s]  Все, все, все дети.
[166.35s -> 167.87s]  Мы должны им помочь?
[167.87s -> 170.27s]  Ну, как бы, не должны, но можем.
[170.27s -> 173.23s]  У нас с точки зрения нас же снимает камера.
[173.23s -> 174.83s]  Прямо сейчас? Куда?
[174.83s -> 176.39s]  Конечно, мы поможем!
[176.39s -> 179.91s]  Мы обязательно поможем, потому что мы хорошие люди.
[179.91s -> 181.79s]  Команда! Команда!
[181.79s -> 184.99s]  Первая часть звезды упала прямиком в ресторан
[184.99s -> 187.55s]  и оказалась у шеф-повара Артема.
[188.55s -> 190.67s]  Ай, так, мы сейчас поедим.
[190.67s -> 191.87s]  Ой, я вижу!
[191.87s -> 193.67s]  Ай, да что!
[193.67s -> 194.99s]  Я вижу еду.
[194.99s -> 196.91s]  Я вижу друга.
[196.91s -> 198.11s]  Друга Снеговика.
[198.11s -> 200.83s]  Приготовьте салат оливье, но не простой.
[200.83s -> 205.27s]  А такой, с каким не стыдно будет пойти в гости к следующему герою.
[205.27s -> 207.59s]  Я хочу сказать очень важную вещь.
[207.59s -> 211.99s]  Нас к вам направил сам бог... Нет, нас к вам направил Снеговик.
[211.99s -> 213.83s]  Он сказал, что он ваш друг.
[213.87s -> 216.07s]  Но судя по набору продуктов,
[216.07s -> 218.83s]  не такой он вам дружбы не существует.
[218.83s -> 220.55s]  Не дружбы не существует.
[220.55s -> 222.43s]  Где он? Где его жена?
[222.43s -> 224.71s]  Жизнь расстается на свои места.
[224.71s -> 228.87s]  Он нам сказал, что вы поможете нам вернуть людям Новый год.
[228.87s -> 231.43s]  Сделаем все, чтобы Новый год вернулся,
[231.43s -> 234.67s]  и поэтому сейчас мы приступим к приготовлению.
