[3.70s -> 5.70s]  И за клубом Наршимерсы
[5.70s -> 7.70s]  Всё, и вы умираете!
[7.70s -> 9.70s]  Водочки-то принеси!
[9.70s -> 22.67s]  Не буду тебе ссать!
[22.67s -> 27.26s]  Покажи мне стра...
[27.26s -> 29.26s]  В шоупробы попадают начинающие актёры
[29.26s -> 31.26s]  Они ещё не знают, но впереди их ждёт
[31.26s -> 33.26s]  необычный кастинг
[33.26s -> 35.26s]  Прошедшие снимутся в новом детище
[35.26s -> 37.26s]  экстравагантового режиссёра
[37.26s -> 39.26s]  Геры Тёплова
[39.26s -> 41.26s]  Здравствуйте, представьтесь, пожалуйста
[41.26s -> 43.26s]  Здрасте, меня Серёж зовут
[43.26s -> 45.26s]  Знакомы с человеком? Это наша главная суперзвезда
[45.26s -> 47.26s]  Амин Чипинкос
[47.26s -> 49.26s]  Чипинкос, единственный настоящий
[49.26s -> 51.26s]  гангста-рэпер в России
[51.26s -> 53.26s]  Выпустил более сотни клипов
[53.26s -> 55.26s]  и 74 альпома
[55.26s -> 57.26s]  Сегодня Чипинкос вместе с Герой Тёплым
[57.26s -> 59.26s]  проведёт кастинг для начинающих
[59.26s -> 61.26s]  актёров и вместе с ними
[61.26s -> 63.26s]  выполнит задание режиссёра
[63.26s -> 65.26s]  Если бы мне это довезло
[65.26s -> 67.26s]  наверное я бы сыграл злодея
[67.26s -> 69.26s]  Да исключительно злодея, это интересно
[69.26s -> 71.26s]  тебе надо нести будет труп друга
[71.26s -> 73.26s]  и понимать, что всё
[73.26s -> 75.26s]  всё, это конец, всё
[75.26s -> 77.26s]  а он сейчас будет играть в рога
[77.26s -> 79.26s]  ааа, ааа
[79.26s -> 81.26s]  уворачивайся от него, приседай, прыгай
[81.26s -> 83.26s]  беги, беги
[83.26s -> 85.26s]  беги по кругу
[85.26s -> 87.26s]  кричи Гера
[87.26s -> 89.26s]  громче, в воздух, в богу
[89.26s -> 91.26s]  ещё громче
[91.26s -> 93.26s]  на колени падай, падай на колени
[93.26s -> 95.26s]  кричи, кричи в потолок
[95.26s -> 97.26s]  Гера
[97.26s -> 99.26s]  Меня зовут Алексей, фамилия моя Колесник
[99.26s -> 101.26s]  мне 45 лет
[101.26s -> 103.26s]  её здорово, Лёша Кудесник
[103.26s -> 105.26s]  привет, привет, привет
[105.26s -> 107.26s]  нас покажёт, как мы пришли
[107.26s -> 109.26s]  времена отдавать бабки
[109.26s -> 111.26s]  я чё-то их не вижу
[111.26s -> 113.26s]  меня зовут
[113.26s -> 115.26s]  Лариса Астровская
[115.26s -> 117.26s]  про себя немножко
[117.26s -> 119.26s]  поступила в модельное агентство
[119.26s -> 121.26s]  модельное агентство потому, что я фрилансер
[121.26s -> 123.26s]  у меня есть время для этого
[123.26s -> 125.26s]  а фрилансер я преподаватель английского языка
[131.26s -> 133.26s]  жизнь, театр
[133.26s -> 135.26s]  и все мобилии актёры
[135.26s -> 137.26s]  книга под названием
[137.26s -> 139.26s]  сердца
[139.26s -> 141.26s]  меня зовут
[141.26s -> 143.26s]  Ка Ма Эль
[143.26s -> 145.26s]  КМС по карате
[145.26s -> 147.26s]  ты как вообще наслышан
[147.26s -> 149.26s]  о блатной тематике
[149.26s -> 151.26s]  я наслышан достаточно
[151.26s -> 153.26s]  в полном объёме
[153.26s -> 155.26s]  в полной мере
[155.26s -> 157.26s]  я родился в 96 году
[157.26s -> 159.26s]  и на фильмах бригада вырос
[159.26s -> 161.26s]  привет, меня зовут Амар
[161.26s -> 163.26s]  я из Египта, мне 26
[163.26s -> 165.26s]  я модель актёр
[165.26s -> 167.26s]  вы будете, как рэп батл, по очереди друг другу говорить
[167.26s -> 169.26s]  и вы делите как раз Татьяну
[169.26s -> 171.26s]  улицы не любят, они только уважают
[171.26s -> 173.26s]  те, кто силён духом и по пустякам не унывает
[173.26s -> 175.26s]  на этих улицах по ночам страшно стреляют
[175.26s -> 177.26s]  на этих улицах мусора вяжут и забирают
[177.26s -> 179.26s]  эти улицы нам в игру сыграть
[179.26s -> 181.26s]  предлагаю славы, которые в нём всегда
[181.26s -> 183.26s]  по любому проиграет
[183.26s -> 185.26s]  ты следующий отвечаешь
[185.26s -> 187.26s]  пока тёлку уводят у тебя Пушкин
[187.26s -> 189.26s]  давай соберись, *****
[217.26s -> 219.26s]  ой, жопа, раунд
[219.26s -> 221.26s]  ах ты сука
[223.26s -> 225.26s]  давай, крись от него
[225.26s -> 227.26s]  на камеру, все на камеру
[227.26s -> 229.26s]  работаем, на камеру откройтесь
[229.26s -> 231.26s]  пошёл *****
[231.26s -> 235.02s]  Мирнов Артур
[235.02s -> 237.02s]  я из Москвы, мне 48 лет
[237.02s -> 239.02s]  я тёку твою
[239.02s -> 241.02s]  отымею на столе
[241.02s -> 243.02s]  я всех отжимаю
[243.02s -> 245.02s]  я братвой всех называю
[245.02s -> 247.02s]  ах ты киска
[247.02s -> 249.02s]  ах ты родная
[249.02s -> 251.02s]  из братвы всех зажигаешь
[251.02s -> 253.02s]  ты сам не должна жить
[253.02s -> 255.02s]  и братву всех кормить
[255.02s -> 257.02s]  я с тобой отжимаюсь
[257.02s -> 259.02s]  я вас с росы уезжаю
[259.02s -> 261.02s]  Евгений Лощонов, 43 года
[261.02s -> 263.02s]  игровой, работаю с текстом
[263.02s -> 265.02s]  работаю с вами работать на вашем проекте
[265.02s -> 267.02s]  сейчас Амин выйдет
[267.02s -> 269.02s]  будет читать свой рэп, а вы вокруг него
[269.02s -> 271.02s]  изображайте, экранизируйте рэп
[271.02s -> 273.02s]  бро, я тут тусую, чмо
[273.02s -> 275.02s]  это реальный crazy life
[275.02s -> 277.02s]  забей про меня, вы нете инфо
[277.02s -> 279.02s]  ты узнаешь, что о номер 1 не признаю
[279.02s -> 281.02s]  трон, вы видите нас здесь
[281.02s -> 283.02s]  к нам на сцену не лейте
[283.02s -> 285.02s]  на лейте нам виски, гладики в клубе
[285.02s -> 287.02s]  киски, пятница, суббота, вечеринки
[287.02s -> 289.02s]  ровняйсь, смирно
[289.02s -> 291.02s]  вольно
