,video_name,stt_name,category_name,title,description,meteor,stt_sum,len,len_tokens
0,0.mp4,0.txt,Развлечения,Правильная цена I #3,"С вами Макс Климток и это шоу Правильная цена! Шоу, в котором участники зарабатывают баллы, угадывая правильные цены товаров и услуг. Сегодня мы узнаем, как в ценах ориентируются Бинет Сен,  Женя Лизогубенко и Кика Кика За просмотр шоу вы также можете заплатить свою цену - поставить лайк, подписаться на канал и оставить комментарий.",0.0,"Итак, после первого раунда третье место с результатом два балла у нас занимает Кика. Картина стоит в долларах, не в рублях. Давай, делаем вторую картину. Не переживай, меня это не волнует ни разу, так что давай делать.",3,54
1,1.mp4,1.txt,Спорт/Игры,Три лошадиные силы | Выпуск №2,"В этом новом выпуске нас ждут не менее новые и безумные челленжи наших сумасшедших и харизматичных ведущих! Аварии, гонка, надувные женщины... Что ждет их на очередном пути к победе. Ставь лайки, пиши комментарии и подписывайся. Агабекян Авет ... Саша Стоун / Макс Игумнов /   #челленджи #челленджи2021",0.0,"Так. Короче, чтобы выходом надо сделать задание. Но с этими заданиями это вообще жопа. Что с Аветом, я не понимаю, он грузит видос уже где-то минут 25 и не может загрузить. Короче, давай одна минута.",4,48
2,2.mp4,2.txt,Блоги,Хашлама | Выпуск 4 | Силиконовый ПРЕСС Давы | Скандал ВкусВилл | ТикТоки Погребняк,"Привет, это Султан и Авет! Мы опять хаваем вкусное и не очень вкусное, а также обсуждаем всевозможные зашквары. В этом выпуске мы высмеяли дешевый пресс Давы, поржали над тиктоками Погребняк, Обсудили Тбилиси и конечно же не смогли пройти мимо скандала со ВкусВиллом. Ставьте лайки и комменты, приятного просмотра. #шоу #хашлама #дава  Авет - Султан - /  Сотрудничество: email",0.0,"Короче, Авет, сколько всего произошло на прошлой неделе ты даже не в курсе. Потому что у тебя на лице и так черные точки. Ее надо типа убивать, да, вообще? А зачем мы это смотрим?",5,60
3,3.mp4,3.txt,Путешествия,Прогулка по стране - Владивосток,"Прогулка по Владивостоку. Самому большому городу Дальнего Востока. Предлагаем посмотреть на центральные улицы города и вместе с нами оценить самые интересные места и достопримечательности «столицы Приморского края»., погрузимся в непередаваемую атмосферу одного из красивейших городов России, не отвлекаясь ни на что лишнее.",0.0,СПОКОЙНАЯ МУЗЫКА Редактор субтитров Е.Воинова Корректор А.Кулакова Редактор субтитров Н.Александрова Редактор субтитров Н.Александрова Редактор субтитров Н.Александрова Редактор субтитров Н.Александрова Редактор субтитров Н.Александрова,3,42
4,4.mp4,4.txt,Искусство,Артмеханика. Выпуск 3. Татуировки + Mika Vino,"Были ли татуировки на теле Николая II? Почему татуировка – это важная часть национальной культуры? За какие татуировки никогда не возьмется мастер из самого модного тату-салона Москвы? Обо всем этом мы говорим в новом выпуске Артмеханика, а заодно узнаем, как  Mika Vino  попали на лэйбл «Газгольдер». Кстати,   в этом выпуске они впервые исполнят главный саундтрек к сериалу «И снова Здравствуйте». Не пропусти.",0.0,"Это татуировки. Татуировка как вид современного искусства. Соответственно, при таком подходе почти нет развития мастеров, как художников. Были ли или нет татуировки?",6,66
5,5.mp4,5.txt,Блоги,Пробы | Выпуск 5 | Майор Дрозд,На этот раз актеры проходят кастинг на роли в первый боевик режиссера Геры Теплого.,0.0,"Я хотел бы сыграть что-нибудь такое серьезное, душное. Что-то прям ваши самые яркие такие эмоции. Моя актерская техника, это я. И мой опыт в жизни. Вы можете сыграть сцену, как будто вы стоите, пьете и говорите... Напарник, как дела?",1,14
6,6.mp4,6.txt,Авто-мото,$1000 шоу | 10 выпуск | Готовь резину,"В новом выпуске 1000$ шоу Дима Гордей проведёт очередной челлендж на новой крутой трассе! 4 команды подписчиков будут перевозить зимнюю резину на скорость. Возить её они будут не в багажнике или салоне, а на закреплённых за тачкой палетках! 1000 $  заберет та команда, которая закинет на 3х метровый столб максимальное количество шин за отведённое время! Будет пыльно!",0.0,"Побеждает та команда, которая накидает больше всего покрышек на столб за пять минут. Прошло 40 секунд, одна команда уже закрепила 6, другая команда 4. Мне кажется, аккуратно ехать можно и без резинки. Итак, честно скажу, когда вы подъезжали на финиш, я думал, что у ребят просто нет шансов.",5,58
7,7.mp4,7.txt,Развлечения,Фея-Крёстная | №1 | Фейя,"В этом выпуске Ассоль приведет в ателье к Рабиа Халилли Фейю – очень хрупкую, нежную девушку. На первый взгляд может показаться, что ей едва ли стукнуло 18 лет. На самом деле уже завтра Фейе исполнится… 30! По этому поводу девушка хочет устроить изысканный ужин с подругами. Но, во-первых, у нее в гардеробе нет ни одного торжественного наряда. Во-вторых, девушку немного пугает эта цифра... Фейя обращается за помощью в проект «Фея Крестная», чтобы спасти день рождения и шагнуть в новую жизнь в потрясающем платье от кутюр.",0.0,"Ну что, эскиз сдался достаточно легко, потому что девочка у нас яркая, миниатюрная, и не было большим вопросом, что именно ей подойдет. Мне фактически пришлось умолять, чтобы нам привезли эту ткань вовремя, и в сжатые сроки, все-таки, ночью люди спят, и пришлось открывать склад и искать мне золотую трикотажную ткань, ведь это нелегко, цвет достаточно тяжелый сам по себе, и нам нужно было попасть в определенный тон, потому что наша героиня хотела красное или золотое платье. Нет, у нас все, в принципе, сметано, я думаю, что... Девочки, я умоляю, скоряйтесь, у нас всего один час остался, я даже не знаю, как мы это успеем. В 30 лет, как я и говорила, я хотела вернуться к своим корням, поэтому заказала на вечер китайские рестораны, поэтому я просто стану там и почувствую связь с родиной.",6,85
8,8.mp4,8.txt,Спорт,Путь бойца. НОВЫЙ УРОВЕНЬ. 2 серия,"Почти половина участников завалила первый этап и покинула проект. Конкуренция среди оставшихся бойцов растет. В новых испытаниях им предстоит проявить свою харизму и, конечно же, боевые навыки. Смогут ли участники сохранить дружеские отношения, или стресс и желание победить подтолкнут их к конфликтам между собой?",0.0,"И вот сейчас идет вперед, летит буквально, зажимается у канатов сейчас Миносян и пропускает удары в корпус. Вообще очень здорово себя проявил Егор Карпушкин в первый раз, когда выходил в ринг. И, посмотрите, Карпушкин, я так понимаю, что хотят почаще меняться ребята из красного угла. После команды рефери, по-моему, сейчас был удар с правой руки и Гаспару было внушение от Мартана Мурадова.",4,44
9,9.mp4,9.txt,Развлечения,Фея-Крёстная | №2 | Даша,"В этом выпуске за помощью к Рабиа Халилли обратилась Даша. Она только недавно поступила в институт, но ей уже выпала честь быть напарницей на конкурсе Мистер Университет. Первокурсница уже сломала голову над внешним видом. Кто-то из конкурсанток шьет платья на заказ. Но у 18-летней девочки нет бюджета на такую роскошь. Она не могла даже мечтать о том, что выйдет на дефиле в платье от кутюр. Но в проекте «Фея Крестная» нет ничего невозможного, и Рабиа Халилли и Ассоль помогут Даше почувствовать себя настоящей принцессой.",0.0,"Ну, как-то так, понимаешь, поэтому у меня сейчас получилось плохо, а у Даши будет хорошо, поэтому нам надо классить. Потому что у Даши не просто должно быть красивое платье, а платье для танца. Понимаю, что это очень-очень как-то звучит странненько, да, но это очень сложно, нарисовать эскиз и проконтролировать, чтобы проект получился именно таким, каким ты видишь его в своей голове. У дизайнеров получилось сделать все, как я просила, разрез, чтобы мне было делать удобные махи.",7,84
